Altium Designer Pick and Place Locations
D:\Dropbox\O-Scope Probe\Probe-Scope - PCB\Project Outputs for Probe-Scope v1.0\Pick Place for Probe-Scope v1.0(Standard Config).csv

========================================================================================================================
File Design Information:

Date:       21/07/19
Time:       21:56
Revision:   Not in VersionControl
Variant:    Standard Config
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R6","Res1","BottomLayer","0402(1005)","240.000","620.000","180",""
"R5","Res1","BottomLayer","0402(1005)","240.000","690.000","180",""
"R4","Res1","BottomLayer","0402(1005)","240.000","760.000","180",""
"U3","PIC32MZ2048EFH064","TopLayer","TSQFP50P1200X1200X120-64L","772.803","1000.000","180","Microchip PIC32MZ EF Series 64-pin"
"U12","MCP6H01","TopLayer","SOT23-5","2390.000","1260.000","270",""
"U10","MCP6H01","TopLayer","SOT23-5","1600.000","1275.000","90",""
"U16","LM2664","TopLayer","SOT95P280X145-6N","2580.000","1245.000","0",""
"U15","MCP4728","TopLayer","MSOP-10","1850.000","1325.000","360",""
"U14","ADRF6518","TopLayer","QFN50P500X500X80_HS-33L","2120.000","1275.000","180",""
"U13","ADA4932-1","TopLayer","QFN50P300X300X80_HS-17L","2175.000","1050.000","90",""
"U11","AD8055","TopLayer","SOT95P280X145-5L","2350.000","1000.000","90",""
"C73","25V","TopLayer","0603(1608)","2580.000","1365.000","0",""
"C72","25V","BottomLayer","0603(1608)","2580.000","1245.000","180",""
"R8","Res1","TopLayer","0603(1608)","2330.000","1390.000","360",""
"R7","0.1% 25ppm","TopLayer","0402(1005)","1690.000","1200.000","90",""
"R2","0.1% 25ppm","TopLayer","0402(1005)","1600.000","1150.000","180",""
"C68","25V","BottomLayer","0603(1608)","2375.000","1005.000","180",""
"C67","25V","BottomLayer","0603(1608)","2390.000","1270.000","360",""
"C66","6.3V","BottomLayer","0402(1005)","2375.000","955.000","180",""
"C65","6.3V","BottomLayer","0402(1005)","2390.000","1320.000","360",""
"C64","6.3V","BottomLayer","0402(1005)","1530.000","1250.000","90",""
"C63","25V","BottomLayer","0603(1608)","2375.000","1060.000","180",""
"C62","25V","BottomLayer","0603(1608)","2390.000","1215.000","360",""
"C45","6.3V","BottomLayer","0402(1005)","2375.000","1110.000","180",""
"C40","6.3V","BottomLayer","0402(1005)","2390.000","1165.000","360",""
"C39","25V","BottomLayer","0603(1608)","2165.000","1050.000","90",""
"C38","6.3V","BottomLayer","0402(1005)","2120.000","1050.000","90",""
"C37","25V","BottomLayer","0603(1608)","2215.000","1050.000","90",""
"C36","6.3V","BottomLayer","0402(1005)","2265.000","970.000","90",""
"C35","6.3V","TopLayer","0402(1005)","2440.000","1385.000","180",""
"C34","6.3V","BottomLayer","0402(1005)","2055.000","1145.000","180",""
"C33","6.3V","BottomLayer","0402(1005)","2265.000","1145.000","90",""
"C32","6.3V","BottomLayer","0402(1005)","2285.000","1390.000","180",""
"C31","6.3V","BottomLayer","0402(1005)","2195.000","1145.000","180",""
"C26","6.3V","BottomLayer","0402(1005)","2180.000","1390.000","180",""
"C11","6.3V","BottomLayer","0402(1005)","2025.000","1310.000","90",""
"U8","EMI2121","TopLayer","EMI2121","445.000","1040.984","270",""
"U7","24MHz XO","TopLayer","DSC60xxC","400.000","1340.000","360",""
"R23","1k","TopLayer","0402(1005)","2150.000","900.000","90",""
"R22","1k","TopLayer","0402(1005)","2225.000","875.000","180",""
"R21","1k","TopLayer","0402(1005)","2225.000","925.000","360",""
"R20","1k","TopLayer","0402(1005)","2375.000","1095.000","180",""
"R19","1k","TopLayer","0402(1005)","2373.622","1145.000","360",""
"R18","1k","TopLayer","0402(1005)","2315.000","1290.000","270",""
"R17","Res1","TopLayer","0402(1005)","1095.000","1250.000","270",""
"R16","Res1","TopLayer","0402(1005)","1135.000","1250.000","270",""
"R15","Res1","BottomLayer","0402(1005)","1275.000","730.000","360",""
"R14","Res1","BottomLayer","0402(1005)","1375.000","730.000","360",""
"R13","Res1","BottomLayer","0402(1005)","1375.000","620.000","180",""
"R12","Res1","BottomLayer","0402(1005)","1475.000","620.000","360",""
"R11","Res1","BottomLayer","0402(1005)","415.000","620.000","0",""
"R10","Res1","BottomLayer","0402(1005)","415.000","690.000","0",""
"R9","Res1","BottomLayer","0402(1005)","415.000","760.000","0",""
"R3","0.1% 25ppm","BottomLayer","0402(1005)","825.000","1380.000","360",""
"R1","Res1","TopLayer","0402(1005)","1925.000","1190.000","270",""
"P7","Pogo Pins","TopLayer","POGO_PINS_3","1100.000","1000.000","90",""
"P3","Micro USB","TopLayer","USB_Micro_B_ZX62","252.343","1000.000","270",""
"L3","Ferrite Bead Y","TopLayer","0805(2012)","1100.000","660.000","270",""
"L2","Inductor","TopLayer","0603(1608)","950.000","665.000","270",""
"L1","Inductor","TopLayer","0603(1608)","675.000","665.000","270",""
"D7","Green","TopLayer","0603(1608)_LED","415.000","620.000","360",""
"D6","Green","TopLayer","0603(1608)_LED","415.000","690.000","360",""
"D5","Green","TopLayer","0603(1608)_LED","415.000","760.000","360",""
"D3","Green","TopLayer","0603(1608)_LED","245.000","620.000","360",""
"D2","Green","TopLayer","0603(1608)_LED","245.000","690.000","360",""
"D1","Green","TopLayer","0603(1608)_LED","245.000","760.000","360",""
"C71","Cap","TopLayer","0402(1005)","800.000","663.622","90",""
"C70","25V","TopLayer","0603(1608)","750.000","665.000","270",""
"C69","Cap","TopLayer","0402(1005)","525.000","665.000","90",""
"C61","25V","BottomLayer","0603(1608)","1265.000","1020.000","90",""
"C60","6.3V","BottomLayer","0402(1005)","1335.000","870.000","270",""
"C59","6.3V","BottomLayer","0402(1005)","1335.000","980.000","90",""
"C58","6.3V","BottomLayer","0402(1005)","1485.000","980.000","90",""
"C57","25V","BottomLayer","0603(1608)","1215.000","1020.000","270",""
"C56","6.3V","BottomLayer","0402(1005)","1295.000","870.000","270",""
"C55","6.3V","BottomLayer","0402(1005)","1445.000","980.000","90",""
"C54","6.3V","BottomLayer","0402(1005)","1485.000","1075.000","90",""
"C53","25V","BottomLayer","0603(1608)","1275.000","1210.000","270",""
"C52","6.3V","BottomLayer","0402(1005)","1335.000","1065.000","360",""
"C51","6.3V","BottomLayer","0402(1005)","1225.000","1210.000","270",""
"C50","6.3V","BottomLayer","0402(1005)","1335.000","1105.000","360",""
"C49","25V","BottomLayer","0603(1608)","1410.000","1085.000","270",""
"C48","6.3V","BottomLayer","0402(1005)","1255.000","870.000","270",""
"C47","6.3V","BottomLayer","0402(1005)","1215.000","870.000","270",""
"C46","6.3V","BottomLayer","0402(1005)","1495.000","870.000","270",""
"C44","6.3V","BottomLayer","0402(1005)","1415.000","870.000","270",""
"C43","6.3V","BottomLayer","0402(1005)","1375.000","980.000","90",""
"C42","6.3V","BottomLayer","0402(1005)","1455.000","870.000","270",""
"C41","6.3V","BottomLayer","0402(1005)","1375.000","870.000","270",""
"C30","25V","BottomLayer","0603(1608)","780.000","800.000","270",""
"C29","25V","BottomLayer","0603(1608)","1370.000","1220.000","360",""
"C28","25V","BottomLayer","0603(1608)","1700.000","840.000","270",""
"C27","25V","BottomLayer","0603(1608)","2050.000","870.000","90",""
"C25","25V","TopLayer","0603(1608)","1025.000","665.000","270",""
"C24","25V","TopLayer","0603(1608)","2135.000","655.000","90",""
"C23","6.3V","BottomLayer","0402(1005)","1370.000","1350.000","360",""
"C22","6.3V","BottomLayer","0402(1005)","1370.000","1265.000","360",""
"C21","6.3V","BottomLayer","0402(1005)","1370.000","1310.000","360",""
"C20","6.3V","BottomLayer","0402(1005)","900.000","980.000","90",""
"C19","6.3V","BottomLayer","0402(1005)","640.000","1025.000","90",""
"C18","6.3V","BottomLayer","0402(1005)","545.000","1120.000","90",""
"C17","6.3V","BottomLayer","0402(1005)","883.622","1225.000","360",""
